date	mktret	bondret
20011130	0.078777	-0.053512
20011231	0.017852	-0.0188465
20020131	-0.015975	0.010793
20020228	-0.021696	0.0096825
20020328	0.044678	-0.045441
20020430	-0.049618	0.0381935
20020531	-0.010521	0.0018395
20020628	-0.070249	0.0184835
20020731	-0.081149	0.032535
20020830	0.007979	0.0528285
20020930	-0.09992	0.0421965
20021031	0.074923	-0.035044
20021129	0.061271	-0.007655
20021231	-0.053313	0.043329
20030131	-0.023392	-0.0045625
20030228	-0.01539	0.0299395
20030331	0.010325	-0.014604
20030430	0.082762	0.010483
20030530	0.063471	0.0609145
20030630	0.016336	-0.018617
20030731	0.023112	-0.09926
20030829	0.024966	0.016462
20030930	-0.009112	0.0566625
20031031	0.060319	-0.030375
20031128	0.016593	0.003972
20031231	0.045488	0.0146315
20040130	0.023051	0.017644
20040227	0.015458	0.022599
20040331	-0.010674	0.0140535
20040430	-0.024232	-0.0634395
20040528	0.014068	-0.0037705
20040630	0.021598	0.0127965
20040730	-0.037667	0.0156835
20040831	0.002713	0.0413675
20040930	0.020547	0.008886
20041029	0.017806	0.0172665
20041130	0.048207	-0.024121
20041231	0.035178	0.027041
20050131	-0.026555	0.033454
20050228	0.02268	-0.0151625
20050331	-0.016949	-0.0026535
20050429	-0.025185	0.0372
20050531	0.037956	0.0323405
20050630	0.011532	0.0201765
20050729	0.043325	-0.0340005
20050831	-0.005945	0.0341655
20050930	0.010606	-0.0371835
20051031	-0.020877	-0.021217
20051130	0.040329	0.0102285
20051230	0.003456	0.026928
20060131	0.040044	-0.013544
20060228	-0.001637	0.010765
20060331	0.019053	-0.0478525
20060428	0.012965	-0.031258
20060531	-0.031045	-0.003578
20060630	-0.000386	0.010746
20060731	-0.001884	0.0221175
20060831	0.025048	0.0312585
20060929	0.019424	0.0199335
20061031	0.037133	0.009811
20061130	0.023705	0.0244795
20061229	0.010854	-0.0296275
20070131	0.019401	-0.0091065
20070228	-0.013994	0.0323485
20070330	0.012946	-0.016764
20070430	0.039821	0.008386
20070531	0.038932	-0.0232365
20070629	-0.014754	-0.0110945
20070731	-0.031758	0.034697
20070831	0.011631	0.016241
20070928	0.040849	0.0018885
20071031	0.025834	0.017106
20071130	-0.049327	0.055712
20071231	-0.004428	-0.0074035
20080131	-0.062147	0.0255705
20080229	-0.021664	-0.003593
20080331	-0.010419	0.0170545
20080430	0.051106	-0.0220005
20080530	0.023841	-0.033115
20080630	-0.078433	0.0299835
20080731	-0.013328	-0.0024735
20080829	0.010563	0.026132
20080930	-0.098007	0.0150645
20081031	-0.184621	-0.0216695
20081128	-0.084615	0.159272
20081231	0.022148	0.1189885
20090130	-0.077323	-0.1266565
20090227	-0.100214	-0.010312
20090331	0.08669	0.0462475
20090430	0.109359	-0.0729115
20090529	0.067788	-0.035747
20090630	-0.003098	0.0058635
20090731	0.081719	0.0080205
20090831	0.031459	0.022683
20090930	0.045222	0.020619
20091030	-0.027993	-0.019534
20091130	0.057098	0.012741
20091231	0.028419	-0.0601415
20100129	-0.037096	0.028446
20100226	0.034774	-0.005295
20100331	0.063606	-0.016895
20100430	0.020043	0.032309
20100528	-0.079136	0.047244
20100630	-0.050725	0.052325
20100730	0.070292	-0.00704
20100831	-0.042813	0.080186
20100930	0.091518	-0.0223465
20101029	0.038531	-0.038384
20101130	0.005108	-0.017658
20101231	0.06715	-0.036194
20110131	0.019157	-0.026445
20110228	0.038165	0.0115115
20110331	0.003366	0.0015415
20110429	0.028688	0.020937
20110531	-0.014935	0.033684
20110630	-0.018395	-0.018351
20110729	-0.02247	0.044604
20110831	-0.057472	0.091357
20110930	-0.084873	0.1051585
20111031	0.113977	-0.0299885
20111130	-0.006226	0.018837
20111230	0.003702	0.0308335
20120131	0.054076	-0.002836
20120229	0.041186	-0.0226425
20120330	0.023994	-0.04046
20120430	-0.006801	0.044451
20120531	-0.065531	0.0907375
20120629	0.038156	-0.0183445
20120731	0.010266	0.0399605
20120831	0.026265	-0.0158995
20120928	0.026539	-0.024212
20121031	-0.014101	-0.0032985
20121130	0.006193	0.0121505
20121231	0.012531	-0.0215955
20130131	0.054094	-0.036555
20130228	0.008332	0.014476
20130328	0.035274	-0.0012665
20130430	0.014945	0.04313
20130531	0.019067	-0.063851
20130628	-0.015039	-0.0369165
20130731	0.052681	-0.0194085
20130830	-0.025714	-0.012657
20130930	0.037477	0.007185
20131031	0.039852	0.011223
20131129	0.024947	-0.0251135
20131231	0.026126	-0.022476
20140131	-0.029957	0.064651
20140228	0.046173	0.0065275
20140331	0.004469	0.006028
20140430	0.001661	0.0193305
20140530	0.020219	0.0273095
20140630	0.027941	-0.003248
20140731	-0.020523	0.009671
20140829	0.040186	0.0437985
20140930	-0.025129	-0.017813
20141031	0.021184	0.0278615
20141128	0.02115	0.0328575
20141231	-0.003616	0.0291275
20150130	-0.027152	0.0946985
20150227	0.055948	-0.0611585
20150331	-0.010439	0.013302
20150430	0.008723	-0.032479
20150529	0.010326	-0.0253095
20150630	-0.019259	-0.035887
20150731	0.012095	0.042673
20150831	-0.059996	-0.008727
20150930	-0.033738	0.0245565
20151030	0.073963	-0.009123
20151130	0.002442	-0.007479
20151231	-0.022257	-0.0052915
20160129	-0.057035	0.05361
20160229	0.000682	0.028934
20160331	0.07046	0.001961
20160429	0.011799	-0.010016
20160531	0.014296	0.007354
20160630	0.003123	0.0704035
20160729	0.03874	0.017092
20160831	0.002787	-0.0118095
20160930	0.003016	-0.0136675
20161031	-0.02159	-0.0429765
20161130	0.040415	-0.078612
20161230	0.018775	-0.003224
20170131	0.022177	0.0026935
20170228	0.032638	0.0133745
20170331	0.002089	-0.0001835
20170428	0.009612	0.013649
20170531	0.00934	0.017401
20170630	0.00946	0.006005
20170731	0.020327	-0.0095515
20170831	0.001591	0.033581
20170929	0.023704	-0.022252
20171031	0.019264	-0.0011395
20171130	0.027269	0.008528
20171229	0.012163	0.0157305
